# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_at[1] c_rdf_at[2] c_rdf_at[3] c_rdf_at[4] c_rdf_at[5] c_rdf_at[6] c_rdf_at[7]
600000 200
167 11.655 0.937551 4.603 1.01203 248.163 1.023 244.512
168 11.725 0.882494 4.6804 1.00418 252.706 1.02107 249.126
169 11.795 0.919934 4.76205 1.00422 257.303 1.0169 253.777
170 11.865 0.902431 4.8431 0.996452 261.919 1.01597 258.478
171 11.935 0.878671 4.92295 0.996281 266.589 1.01348 263.224
172 12.005 0.954919 5.01075 0.991713 271.292 1.01064 268.012
173 12.075 0.984193 5.1023 0.994395 276.063 1.00896 272.848
174 12.145 0.929843 5.1898 0.991876 280.877 1.00734 277.732
175 12.215 0.922367 5.2776 0.989889 285.737 1.00483 282.661
176 12.285 0.933177 5.36745 0.988996 290.649 1.00161 287.63
177 12.355 0.951899 5.46015 0.986113 295.602 0.999647 292.646
178 12.425 0.988416 5.5575 0.981942 300.59 0.998382 297.713
179 12.495 0.952273 5.65235 0.983209 305.642 0.995382 302.821
180 12.565 1.00126 5.7532 0.980995 310.738 0.99427 307.981
181 12.635 0.961233 5.8511 0.97935 315.883 0.99201 313.187
182 12.705 0.964265 5.9504 0.977573 321.075 0.990672 318.444
183 12.775 0.948444 6.04915 0.978271 326.329 0.989859 323.754
184 12.845 0.976611 6.15195 0.978933 331.644 0.988307 329.115
185 12.915 0.987197 6.257 0.97787 337.011 0.987346 334.528
186 12.985 0.951947 6.3594 0.980566 342.451 0.985268 339.989
187 13.055 0.956481 6.4634 0.976324 347.927 0.985006 345.508
188 13.125 0.979517 6.57105 0.976333 353.461 0.984228 351.081
189 13.195 1.02227 6.6846 0.979935 359.076 0.98384 356.712
190 13.265 0.9977 6.7966 0.979257 364.746 0.982816 362.397
191 13.335 1.03618 6.91415 0.978829 370.473 0.982961 368.143
192 13.405 1.02974 7.0322 0.981059 376.274 0.983346 373.952
193 13.475 0.996628 7.14765 0.982809 382.147 0.982535 379.816
194 13.545 1.04787 7.2703 0.982786 388.08 0.982685 385.743
195 13.615 1.05361 7.3949 0.986231 394.096 0.983147 391.734
196 13.685 1.04788 7.5201 0.987822 400.183 0.983787 397.79
197 13.755 1.04428 7.64615 0.98562 406.319 0.984503 403.913
198 13.825 1.00421 7.7686 0.989394 412.542 0.984759 410.1
199 13.895 1.01929 7.89415 0.985888 418.806 0.986294 416.36
200 13.965 1.04205 8.0238 0.991542 425.169 0.98658 422.685
800000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 0 0 7.0142e-06 2.04082e-06
44 3.045 0 0 0.000163871 5e-05 0.00019082 6.02041e-05
45 3.115 0.00807669 5e-05 0.00195736 0.000675 0.00179781 0.000633673
46 3.185 0.00772558 0.0001 0.0134055 0.00515 0.0091858 0.00369694
47 3.255 0.0591751 0.0005 0.0430227 0.02015 0.0327453 0.015102
48 3.325 0.120508 0.00135 0.110016 0.060175 0.0819974 0.0449031
49 3.395 0.312774 0.00365 0.215733 0.142 0.162998 0.106663
50 3.465 0.554837 0.0079 0.355425 0.282425 0.273769 0.214716
51 3.535 0.840387 0.0146 0.498889 0.487575 0.398682 0.378493
52 3.605 1.05531 0.02335 0.65379 0.767175 0.520305 0.60078
53 3.675 1.14316 0.0332 0.789102 1.11787 0.628401 0.879774
54 3.745 1.24611 0.04435 0.875638 1.522 0.702549 1.20368
55 3.815 1.23311 0.0558 0.920272 1.96275 0.747403 1.56128
56 3.885 1.39158 0.0692 0.974337 2.44667 0.763038 1.93987
57 3.955 1.24756 0.08165 0.975561 2.94882 0.763605 2.33252
58 4.025 1.39805 0.0961 0.999323 3.48157 0.75545 2.73484
59 4.095 1.44881 0.1116 1.00826 4.03795 0.753836 3.1504
60 4.165 1.3192 0.1262 1.03558 4.6291 0.760785 3.58424
61 4.235 1.33276 0.14145 1.06356 5.2568 0.78088 4.04464
62 4.305 1.32783 0.15715 1.07926 5.915 0.798685 4.53123
63 4.375 1.32253 0.1733 1.08962 6.6013 0.823695 5.04951
64 4.445 1.2217 0.1887 1.11986 7.3294 0.84777 5.60014
65 4.515 1.17643 0.204 1.11895 8.08 0.870304 6.18335
66 4.585 1.09604 0.2187 1.12859 8.86072 0.892511 6.80013
67 4.655 1.208 0.2354 1.13357 9.66902 0.916624 7.45307
68 4.725 1.12684 0.25145 1.14417 10.5096 0.940853 8.14357
69 4.795 1.1419 0.2682 1.16853 11.3937 0.973413 8.87929
70 4.865 0.864241 0.28125 1.17447 12.3084 1.00299 9.65967
71 4.935 1.13274 0.29885 1.20247 13.2721 1.0285 10.4831
72 5.005 1.08563 0.3162 1.1903 14.2533 1.04937 11.3472
73 5.075 1.01024 0.3328 1.21079 15.2795 1.06404 12.2481
74 5.145 1.12802 0.35185 1.20585 16.3298 1.07131 13.1803
75 5.215 1.12387 0.37135 1.1966 17.4007 1.07468 14.1411
76 5.285 1.05502 0.39015 1.19862 18.5024 1.07601 15.1291
77 5.355 1.03035 0.409 1.19157 19.6268 1.08575 16.1526
78 5.425 1.02257 0.4282 1.19435 20.7835 1.09513 17.2121
79 5.495 0.965538 0.4468 1.18077 21.9567 1.10897 18.3128
80 5.565 0.923686 0.46505 1.19683 23.1764 1.12241 19.4555
81 5.635 0.883603 0.48295 1.18963 24.4194 1.13689 20.6422
82 5.705 0.977635 0.50325 1.18615 25.6897 1.1479 21.8704
83 5.775 0.871831 0.5218 1.17545 26.9797 1.15706 23.1389
84 5.845 1.09194 0.5456 1.17627 28.3021 1.16221 24.4441
85 5.915 0.983371 0.56755 1.16418 29.6424 1.1675 25.7869
86 5.985 0.978007 0.5899 1.16031 31.0101 1.16635 27.1603
87 6.055 1.13722 0.6165 1.15148 32.3993 1.16567 28.5652
88 6.125 0.994392 0.6403 1.137 33.803 1.16315 29.9996
89 6.195 0.918952 0.6628 1.12487 35.2235 1.15751 31.4599
90 6.265 0.962427 0.6869 1.1153 36.664 1.14827 32.9415
91 6.335 0.913936 0.7103 1.08422 38.0959 1.14296 34.4493
92 6.405 0.936098 0.7348 1.07656 39.5492 1.13075 35.9742
93 6.475 0.872973 0.75815 1.06038 41.0121 1.12008 37.5179
94 6.545 0.870866 0.78195 1.04373 42.4833 1.10927 39.08
95 6.615 0.891935 0.80685 1.03106 43.968 1.10059 40.6631
96 6.685 0.904921 0.83265 1.02521 45.4756 1.09112 42.266
97 6.755 0.891416 0.8586 1.01171 46.9947 1.08369 43.8916
98 6.825 0.831162 0.8833 0.998193 48.5247 1.07519 45.5379
99 6.895 0.844044 0.9089 0.983573 50.0634 1.07 47.2101
100 6.965 0.778697 0.933 0.981427 51.6301 1.06106 48.9022
101 7.035 0.825037 0.95905 0.976378 53.2202 1.05228 50.6141
102 7.105 0.782468 0.98425 0.969499 54.8307 1.04453 52.3475
103 7.175 0.819035 1.01115 0.952032 56.4434 1.03468 54.0985
104 7.245 0.83464 1.0391 0.947287 58.0797 1.02441 55.8661
105 7.315 0.818743 1.06705 0.945799 59.745 1.01309 57.6481
106 7.385 0.778866 1.09415 0.937134 61.4268 1.0045 59.449
107 7.455 0.839047 1.1239 0.927136 63.1224 0.9953 61.2674
108 7.525 0.835966 1.1541 0.926537 64.8489 0.984191 63.0994
109 7.595 0.812475 1.184 0.920429 66.596 0.975349 64.9489
110 7.665 0.820381 1.21475 0.91435 68.3637 0.967145 66.8167
111 7.735 0.804289 1.24545 0.912809 70.1608 0.95897 68.7028
112 7.805 0.841389 1.27815 0.913558 71.9921 0.951639 70.6085
113 7.875 0.825233 1.3108 0.91525 73.8599 0.946373 72.5378
114 7.945 0.843037 1.34475 0.911374 75.7529 0.941096 74.4906
115 8.015 0.846676 1.37945 0.909231 77.675 0.936449 76.4681
116 8.085 0.809298 1.4132 0.908025 79.6281 0.933889 78.4749
117 8.155 0.896813 1.45125 0.908783 81.6169 0.929861 80.5077
