# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_at[1] c_rdf_at[2] c_rdf_at[3] c_rdf_at[4] c_rdf_at[5] c_rdf_at[6] c_rdf_at[7]
400000 200
156 10.885 0.965744 3.90135 1.0405 200.804 1.03449 196.656
157 10.955 0.994584 3.9775 1.03342 204.885 1.03467 200.738
158 11.025 0.991666 4.0544 1.03578 209.028 1.0366 204.88
159 11.095 0.979829 4.13135 1.03245 213.21 1.03504 209.068
160 11.165 0.971353 4.2086 1.02511 217.415 1.03464 213.308
161 11.235 0.97543 4.28715 1.02709 221.681 1.03335 217.596
162 11.305 0.979945 4.36705 1.02441 225.989 1.03247 221.933
163 11.375 0.995178 4.4492 1.02197 230.341 1.03083 226.318
164 11.445 0.940561 4.5278 1.01081 234.698 1.03214 230.762
165 11.515 0.994179 4.6119 1.0113 239.11 1.02938 235.249
166 11.585 0.957091 4.69385 1.01273 243.583 1.0265 239.778
167 11.655 0.98717 4.7794 1.01019 248.098 1.02709 244.364
168 11.725 0.9224 4.8603 1.00484 252.644 1.02417 248.992
169 11.795 1.02528 4.9513 1.00052 257.224 1.02225 253.667
170 11.865 1.00431 5.0415 0.997877 261.847 1.01964 258.386
171 11.935 1.04263 5.13625 0.99155 266.494 1.01775 263.152
172 12.005 1.0006 5.22825 0.988571 271.183 1.01565 267.963
173 12.075 0.997631 5.32105 0.987491 275.921 1.01255 272.817
174 12.145 0.969162 5.41225 0.985994 280.706 1.01013 277.714
175 12.215 1.01849 5.5092 0.981977 285.528 1.00912 282.664
176 12.285 1.01055 5.6065 0.983504 290.412 1.00737 287.662
177 12.355 1.01813 5.70565 0.979528 295.332 1.00584 292.709
178 12.425 0.986385 5.8028 0.97456 300.283 1.00199 297.794
179 12.495 0.986408 5.90105 0.976022 305.297 1.00008 302.926
180 12.565 1.03005 6.0048 0.974884 310.362 0.999059 308.111
181 12.635 1.04224 6.11095 0.97934 315.506 0.997072 313.344
182 12.705 1.01864 6.21585 0.975521 320.688 0.993907 318.618
183 12.775 1.03825 6.32395 0.972675 325.912 0.993018 323.945
184 12.845 1.03314 6.4327 0.976608 331.214 0.991338 329.322
185 12.915 1.03324 6.54265 0.977401 336.579 0.989689 334.748
186 12.985 1.02446 6.65285 0.976452 341.996 0.989088 340.231
187 13.055 1.04891 6.7669 0.971158 347.443 0.98685 345.76
188 13.125 1.05276 6.8826 0.977731 352.985 0.986469 351.346
189 13.195 1.03847 6.99795 0.975427 358.573 0.985073 356.984
190 13.265 1.0801 7.1192 0.980172 364.249 0.983944 362.675
191 13.335 1.10625 7.2447 0.978347 369.974 0.984207 368.428
192 13.405 1.08775 7.3694 0.979681 375.766 0.983719 374.239
193 13.475 1.05749 7.4919 0.977918 381.609 0.98221 380.102
194 13.545 1.04488 7.6142 0.97999 387.526 0.98314 386.031
195 13.615 1.04896 7.73825 0.980059 393.504 0.982092 392.015
196 13.685 1.04286 7.86285 0.984747 399.573 0.98321 398.068
197 13.755 1.06499 7.9914 0.98299 405.692 0.982339 404.178
198 13.825 1.0485 8.11925 0.985606 411.891 0.983419 410.357
199 13.895 1.027 8.24575 0.991704 418.192 0.983834 416.601
200 13.965 1.02758 8.3736 0.987568 424.529 0.984393 422.912
600000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 0 0 1.05213e-05 3.06122e-06
44 3.045 0 0 0.000491612 0.00015 0.000187472 6.02041e-05
45 3.115 0 0 0.0027403 0.001025 0.00192897 0.00067551
46 3.185 0.0154512 0.0001 0.0135552 0.00555 0.00959582 0.00387551
47 3.255 0.0517782 0.00045 0.0481854 0.02235 0.0332756 0.0154653
48 3.325 0.170129 0.00165 0.107474 0.06145 0.084047 0.0460112
49 3.395 0.387568 0.0045 0.218435 0.1443 0.167242 0.10938
50 3.465 0.535254 0.0086 0.359159 0.2862 0.275292 0.218034
51 3.535 0.708685 0.01425 0.512811 0.497075 0.400352 0.382496
52 3.605 0.910585 0.0218 0.657005 0.77805 0.524454 0.606555
53 3.675 1.16057 0.0318 0.779483 1.12448 0.628505 0.885596
54 3.745 1.3411 0.0438 0.869138 1.5256 0.702545 1.2095
55 3.815 1.32465 0.0561 0.922047 1.9672 0.745665 1.56626
56 3.885 1.38639 0.06945 0.967089 2.44752 0.764222 1.94544
57 3.955 1.37783 0.0832 0.97998 2.95195 0.761358 2.33694
58 4.025 1.55769 0.0993 1.005 3.48772 0.755099 2.73908
59 4.095 1.54695 0.11585 1.01506 4.04785 0.754663 3.15509
60 4.165 1.53154 0.1328 1.03172 4.6368 0.761239 3.58919
61 4.235 1.41141 0.14895 1.03518 5.24775 0.778379 4.04811
62 4.305 1.40817 0.1656 1.06528 5.89743 0.800152 4.5356
63 4.375 1.38804 0.18255 1.05866 6.56423 0.827321 5.05616
64 4.445 1.3883 0.20005 1.09071 7.27338 0.847212 5.60643
65 4.515 1.3725 0.2179 1.08794 8.00318 0.870173 6.18955
66 4.585 1.41293 0.23685 1.09838 8.763 0.892685 6.80646
67 4.655 1.41054 0.25635 1.10581 9.5515 0.914874 7.45814
68 4.725 1.25321 0.2742 1.11626 10.3716 0.942308 8.14971
69 4.795 1.25779 0.29265 1.13906 11.2334 0.973186 8.88526
70 4.865 1.29802 0.31225 1.15303 12.1314 1.00285 9.66552
71 4.935 1.38052 0.3337 1.16747 13.067 1.02966 10.4899
72 5.005 1.33592 0.35505 1.17862 14.0386 1.04972 11.3543
73 5.075 1.34801 0.3772 1.17365 15.0333 1.06356 12.2548
74 5.145 1.37671 0.40045 1.17273 16.0548 1.07191 13.1875
75 5.215 1.23914 0.42195 1.17308 17.1046 1.07517 14.1487
76 5.285 1.34683 0.44595 1.16438 18.1748 1.08098 15.1413
77 5.355 1.28998 0.46955 1.15658 19.2662 1.08903 16.1679
78 5.425 1.29419 0.49385 1.17173 20.401 1.09979 17.2319
79 5.495 1.15501 0.5161 1.16089 21.5545 1.11071 18.3344
80 5.565 1.19447 0.5397 1.16629 22.743 1.12532 19.48
81 5.635 1.07612 0.5615 1.16786 23.9633 1.13721 20.667
82 5.705 1.28586 0.5882 1.16288 25.2087 1.14911 21.8965
83 5.775 1.20082 0.61375 1.16101 26.4829 1.1561 23.1639
84 5.845 1.18829 0.63965 1.15939 27.7863 1.16331 24.4704
85 5.915 1.17825 0.66595 1.14603 29.1057 1.16659 25.8121
86 5.985 1.18586 0.69305 1.1359 30.4446 1.16563 27.1847
87 6.055 1.16501 0.7203 1.14097 31.8211 1.16451 28.5882
88 6.125 1.15107 0.74785 1.12639 33.2116 1.1612 30.0202
89 6.195 1.05169 0.7736 1.1177 34.6232 1.15375 31.4758
90 6.265 1.05228 0.79995 1.10318 36.048 1.14597 32.9544
91 6.335 1.05845 0.82705 1.09497 37.4941 1.13677 34.4541
92 6.405 1.07365 0.85515 1.08276 38.9557 1.12832 35.9757
93 6.475 1.06925 0.88375 1.06098 40.4195 1.11807 37.5166
94 6.545 1.0154 0.9115 1.04311 41.8899 1.1082 39.0771
95 6.615 1.02447 0.9401 1.0408 43.3885 1.09869 40.6575
96 6.685 1.07854 0.97085 1.02471 44.8954 1.08967 42.2583
97 6.755 1.02367 1.00065 1.0234 46.4321 1.08418 43.8846
98 6.825 0.925382 1.02815 1.00689 47.9754 1.07562 45.5316
99 6.895 0.933065 1.05645 0.994392 49.531 1.06877 47.2019
100 6.965 0.980642 1.0868 0.993659 51.1173 1.06108 48.894
101 7.035 0.891547 1.11495 0.975932 52.7066 1.05399 50.6087
102 7.105 0.825938 1.14155 0.972479 54.322 1.04383 52.3409
103 7.175 0.831214 1.16885 0.965122 55.957 1.03544 54.0932
104 7.245 0.846585 1.1972 0.958663 57.6128 1.02576 55.8631
105 7.315 0.845106 1.22605 0.945671 59.278 1.01649 57.6511
106 7.385 0.921131 1.2581 0.944628 60.9732 1.0046 59.4522
107 7.455 0.846097 1.2881 0.939562 62.6915 0.995238 61.2704
108 7.525 0.840118 1.31845 0.929717 64.4239 0.985699 63.1053
109 7.595 0.832855 1.3491 0.926725 66.183 0.976385 64.9567
110 7.665 0.908421 1.38315 0.926389 67.974 0.968695 66.8276
111 7.735 0.817389 1.41435 0.918599 69.7825 0.961097 68.7178
112 7.805 0.846535 1.44725 0.922001 71.6308 0.952768 70.6258
113 7.875 0.849245 1.48085 0.919134 73.5064 0.947751 72.5579
114 7.945 0.843037 1.5148 0.912313 75.4014 0.941931 74.5124
115 8.015 0.834476 1.549 0.916942 77.3397 0.938046 76.4933
116 8.085 0.9232 1.5875 0.915464 79.3089 0.934606 78.5016
117 8.155 0.883849 1.625 0.91566 81.3127 0.931667 80.5384
118 8.225 0.916367 1.66455 0.91501 83.3497 0.929985 82.6065
119 8.295 0.883881 1.70335 0.922753 85.4389 0.927604 84.7046
120 8.365 0.86355 1.7419 0.925647 87.5703 0.927662 86.8385
121 8.435 0.951719 1.7851 0.930273 89.7483 0.926591 89.0056
122 8.505 0.916615 1.8274 0.932993 91.9691 0.926966 91.2098
123 8.575 0.944345 1.8717 0.941153 94.2463 0.928345 93.4537
124 8.645 0.928065 1.91595 0.941486 96.5616 0.929145 95.7364
125 8.715 0.982353 1.96355 0.954051 98.9461 0.93193 98.0632
126 8.785 1.01652 2.0136 0.95392 101.369 0.933992 100.433
127 8.855 0.973525 2.0623 0.958829 103.843 0.936063 102.845
128 8.925 0.994718 2.11285 0.969714 106.384 0.939317 105.305
129 8.995 1.0287 2.16595 0.970586 108.969 0.943443 107.814
130 9.065 1.06056 2.22155 0.976706 111.61 0.947423 110.374
131 9.135 1.04718 2.2773 0.987624 114.322 0.951818 112.985
132 9.205 1.02669 2.3328 0.994188 117.094 0.954925 115.644
133 9.275 1.08414 2.3923 0.997034 119.916 0.959925 118.359
134 9.345 1.1227 2.45485 1.00368 122.8 0.965727 121.131
135 9.415 1.03976 2.51365 1.00672 125.737 0.969474 123.956
136 9.485 1.07499 2.57535 1.00857 128.722 0.975018 126.84
137 9.555 1.07733 2.6381 1.01257 131.764 0.979435 129.779
138 9.625 1.14716 2.7059 1.02205 134.88 0.984563 132.778
139 9.695 1.1465 2.77465 1.02465 138.049 0.987766 135.83
140 9.765 1.13587 2.84375 1.02727 141.273 0.993714 138.944
141 9.835 1.21537 2.91875 1.0334 144.562 0.998058 142.118
142 9.905 1.10239 2.98775 1.03007 147.887 1.00226 145.35
143 9.975 1.11139 3.0583 1.03805 151.286 1.00693 148.644
