# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
400000 200
161 11.235 1.14869 4.6741 1.01569 219.477 1.03456 216.908
162 11.305 1.16714 4.7689 1.01393 223.724 1.03322 221.232
163 11.375 1.13458 4.8622 1.01199 228.017 1.03204 225.605
164 11.445 1.19582 4.96175 1.00841 232.347 1.02936 230.02
165 11.515 1.14809 5.0585 1.00345 236.708 1.02821 234.485
166 11.585 1.10261 5.15255 1.00497 241.13 1.02691 238.998
167 11.655 1.11199 5.24855 1.00266 245.595 1.02438 243.555
168 11.725 1.11077 5.3456 0.999885 250.101 1.02298 248.161
169 11.795 1.16096 5.44825 0.996763 254.646 1.01973 252.806
170 11.865 1.07801 5.5447 0.992225 259.225 1.01862 257.502
171 11.935 1.1245 5.6465 0.994214 263.868 1.01536 262.239
172 12.005 1.09068 5.7464 0.98594 268.526 1.01273 267.018
173 12.075 1.1331 5.8514 0.990631 273.26 1.01155 271.848
174 12.145 1.09821 5.95435 0.982874 278.013 1.00933 276.723
175 12.215 1.07881 6.05665 0.985064 282.831 1.00719 281.645
176 12.285 1.10564 6.1627 0.980637 287.682 1.00417 286.607
177 12.355 1.0746 6.26695 0.97713 292.572 1.00182 291.615
178 12.425 1.05692 6.37065 0.976362 297.513 0.999979 296.671
179 12.495 1.11062 6.48085 0.978589 302.521 0.997648 301.771
180 12.565 1.11372 6.5926 0.980763 307.597 0.996434 306.923
181 12.635 1.11275 6.7055 0.977722 312.714 0.994768 312.123
182 12.705 1.11807 6.8202 0.978091 317.889 0.993256 317.374
183 12.775 1.06536 6.9307 0.974523 323.102 0.991922 322.675
184 12.845 1.08716 7.0447 0.975315 328.378 0.990558 328.027
185 12.915 1.11266 7.16265 0.97879 333.729 0.989458 333.432
186 12.985 1.11097 7.2817 0.973322 339.109 0.987932 338.886
187 13.055 1.03954 7.3943 0.978511 344.576 0.986668 344.393
188 13.125 1.1052 7.5153 0.971019 350.059 0.985608 349.953
189 13.195 1.05329 7.63185 0.978414 355.643 0.984711 355.568
190 13.265 1.07305 7.75185 0.975228 361.269 0.984528 361.241
191 13.335 1.06093 7.87175 0.980966 366.987 0.982914 366.964
192 13.405 1.07878 7.99495 0.980811 372.764 0.984092 372.755
193 13.475 1.0884 8.12055 0.980458 378.6 0.982913 378.6
194 13.545 1.12949 8.25225 0.984272 384.52 0.983454 384.508
195 13.615 1.07292 8.37865 0.983212 390.494 0.982866 390.475
196 13.685 1.06785 8.50575 0.989753 396.57 0.984113 396.51
197 13.755 1.05535 8.63265 0.987509 402.695 0.984689 402.611
198 13.825 1.02452 8.7571 0.990658 408.902 0.985532 408.779
199 13.895 1.10061 8.89215 0.986243 415.144 0.98496 415.007
200 13.965 1.07952 9.02595 0.993943 421.498 0.986205 421.305
600000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 0 0 3.52052e-06 1.02041e-06
44 3.045 0 0 0.000246747 7.5e-05 0.000181468 5.61224e-05
45 3.115 0 0 0.0025936 0.0009 0.0016923 0.000593878
46 3.185 0.0232654 0.00015 0.0121036 0.004925 0.00958953 0.00377959
47 3.255 0.0594015 0.00055 0.0458505 0.02085 0.0328441 0.0151755
48 3.325 0.199244 0.00195 0.114921 0.0625 0.0836499 0.0454612
49 3.395 0.320796 0.0043 0.217485 0.144675 0.164522 0.107561
50 3.465 0.537302 0.0084 0.357484 0.285375 0.276197 0.216157
51 3.535 0.87508 0.01535 0.503055 0.49145 0.399131 0.379493
52 3.605 1.07146 0.0242 0.646961 0.767075 0.522581 0.601901
53 3.675 1.20578 0.03455 0.77631 1.11078 0.627465 0.879418
54 3.745 1.55939 0.04845 0.850549 1.50183 0.704409 1.20295
55 3.815 1.39999 0.0614 0.913051 1.93745 0.752037 1.56139
56 3.885 1.51158 0.0759 0.948355 2.40668 0.76541 1.93971
57 3.955 1.58931 0.0917 0.963887 2.90093 0.764839 2.33149
58 4.025 1.6025 0.1082 0.990954 3.4272 0.759238 2.7343
59 4.095 1.63732 0.12565 0.99343 3.9733 0.76112 3.15227
60 4.165 1.6281 0.1436 1.02103 4.55392 0.763446 3.58597
61 4.235 1.53086 0.16105 1.04058 5.16572 0.780933 4.04464
62 4.305 1.59185 0.1798 1.06249 5.81123 0.804239 4.53275
63 4.375 1.46733 0.19765 1.06809 6.4814 0.826101 5.05056
64 4.445 1.44139 0.21575 1.08265 7.18262 0.84919 5.60001
65 4.515 1.32372 0.2329 1.08593 7.9083 0.869679 6.18058
66 4.585 1.53809 0.25345 1.10233 8.66795 0.893836 6.79593
67 4.655 1.39052 0.2726 1.11841 9.4624 0.918344 7.44759
68 4.725 1.51877 0.29415 1.11931 10.2816 0.944671 8.13826
69 4.795 1.3242 0.3135 1.13974 11.1406 0.974345 8.87188
70 4.865 1.42929 0.335 1.16028 12.0408 1.00444 9.65039
71 4.935 1.39549 0.3566 1.18374 12.9859 1.03385 10.4749
72 5.005 1.45409 0.37975 1.1757 13.9513 1.05223 11.3381
73 5.075 1.45091 0.4035 1.18812 14.9544 1.06578 12.237
74 5.145 1.43548 0.42765 1.18479 15.9826 1.07003 13.1646
75 5.215 1.42034 0.4522 1.18001 17.0345 1.07344 14.1206
76 5.285 1.45901 0.4781 1.17981 18.1148 1.07803 15.1067
77 5.355 1.41015 0.5038 1.17089 19.2155 1.08397 16.1246
78 5.425 1.25905 0.52735 1.17689 20.3509 1.09575 17.1807
79 5.495 1.32879 0.55285 1.18703 21.5258 1.10767 18.2759
80 5.565 1.23968 0.57725 1.17592 22.7197 1.12158 19.4134
