# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
600000 200
196 13.685 0.892677 7.50685 0.994391 398.653 0.981534 396.266
197 13.755 0.9069 7.6159 0.992338 404.808 0.982109 402.35
198 13.825 0.926141 7.7284 0.996132 411.049 0.982993 408.503
199 13.895 0.918056 7.84105 0.997951 417.365 0.983691 414.722
200 13.965 0.911699 7.95405 1.0013 423.766 0.984555 421.01
800000 200
1 0.035 0 0 0 0 0 0
2 0.105 0 0 0 0 0 0
3 0.175 0 0 0 0 0 0
4 0.245 0 0 0 0 0 0
5 0.315 0 0 0 0 0 0
6 0.385 0 0 0 0 0 0
7 0.455 0 0 0 0 0 0
8 0.525 0 0 0 0 0 0
9 0.595 0 0 0 0 0 0
10 0.665 0 0 0 0 0 0
11 0.735 0 0 0 0 0 0
12 0.805 0 0 0 0 0 0
13 0.875 0 0 0 0 0 0
14 0.945 0 0 0 0 0 0
15 1.015 0 0 0 0 0 0
16 1.085 0 0 0 0 0 0
17 1.155 0 0 0 0 0 0
18 1.225 0 0 0 0 0 0
19 1.295 0 0 0 0 0 0
20 1.365 0 0 0 0 0 0
21 1.435 0 0 0 0 0 0
22 1.505 0 0 0 0 0 0
23 1.575 0 0 0 0 0 0
24 1.645 0 0 0 0 0 0
25 1.715 0 0 0 0 0 0
26 1.785 0 0 0 0 0 0
27 1.855 0 0 0 0 0 0
28 1.925 0 0 0 0 0 0
29 1.995 0 0 0 0 0 0
30 2.065 0 0 0 0 0 0
31 2.135 0 0 0 0 0 0
32 2.205 0 0 0 0 0 0
33 2.275 0 0 0 0 0 0
34 2.345 0 0 0 0 0 0
35 2.415 0 0 0 0 0 0
36 2.485 0 0 0 0 0 0
37 2.555 0 0 0 0 0 0
38 2.625 0 0 0 0 0 0
39 2.695 0 0 0 0 0 0
40 2.765 0 0 0 0 0 0
41 2.835 0 0 0 0 0 0
42 2.905 0 0 0 0 0 0
43 2.975 0 0 0 0 1.40821e-05 4.08163e-06
44 3.045 0 0 0.000328995 0.0001 0.000208353 6.73469e-05
45 3.115 0 0 0.00243641 0.000875 0.00176616 0.000628571
46 3.185 0.0155103 0.0001 0.0145844 0.005725 0.00992126 0.00392449
47 3.255 0.0594015 0.0005 0.0465703 0.0219 0.033 0.0153745
48 3.325 0.149433 0.00155 0.110575 0.061975 0.0838613 0.0457367
49 3.395 0.279843 0.0036 0.210736 0.1416 0.164611 0.10787
50 3.465 0.373491 0.00645 0.349925 0.279325 0.273031 0.215221
51 3.535 0.749169 0.0124 0.503177 0.48545 0.395171 0.376937
52 3.605 0.841427 0.01935 0.635577 0.756225 0.516735 0.596857
53 3.675 0.932005 0.02735 0.756716 1.09125 0.617941 0.870162
54 3.745 1.22844 0.0383 0.856313 1.48495 0.694938 1.18934
55 3.815 1.13513 0.0488 0.904562 1.91652 0.741442 1.54273
56 3.885 1.31872 0.06145 0.940624 2.38193 0.756345 1.91657
57 3.955 1.26742 0.07405 0.963789 2.87612 0.758002 2.30485
58 4.025 1.23829 0.0868 0.97702 3.395 0.753259 2.70448
59 4.095 1.19632 0.09955 0.996386 3.94272 0.752481 3.11771
60 4.165 1.2018 0.1128 1.0125 4.5185 0.760193 3.54956
61 4.235 1.23697 0.1269 1.03084 5.12458 0.777102 4.00599
62 4.305 1.5027 0.1446 1.04574 5.7599 0.799579 4.49127
63 4.375 1.4139 0.1618 1.06968 6.43108 0.825303 5.00858
64 4.445 1.11489 0.1758 1.07833 7.1295 0.84891 5.55785
65 4.515 1.07287 0.1897 1.0762 7.84868 0.874493 6.14163
66 4.585 1.30232 0.2071 1.11176 8.61482 0.895328 6.75801
67 4.655 1.29612 0.22495 1.11317 9.40555 0.921274 7.41175
68 4.725 1.14172 0.24115 1.13949 10.2395 0.947211 8.10427
69 4.795 1.17364 0.2583 1.14514 11.1026 0.979503 8.84177
70 4.865 1.28969 0.2777 1.1636 12.0054 1.00765 9.62278
71 4.935 1.17906 0.29595 1.17945 12.947 1.03372 10.4472
72 5.005 1.18086 0.31475 1.17936 13.9155 1.05523 11.3129
73 5.075 1.16073 0.33375 1.19374 14.9233 1.06829 12.2139
74 5.145 1.08181 0.35195 1.19096 15.9568 1.07561 13.1463
75 5.215 1.04718 0.37005 1.17939 17.0083 1.07767 14.1061
76 5.285 1.05342 0.38875 1.17118 18.0806 1.08246 15.0962
77 5.355 1.03703 0.40765 1.18371 19.1933 1.08887 16.1187
78 5.425 1.14945 0.42915 1.17909 20.3309 1.09855 17.1775
79 5.495 1.03437 0.449 1.17417 21.4931 1.11116 18.2762
80 5.565 1.03391 0.46935 1.17484 22.6858 1.12345 19.4156
81 5.635 1.07528 0.49105 1.18217 23.9163 1.13537 20.5962
82 5.705 1.01763 0.5121 1.1775 25.1726 1.14611 21.8177
83 5.775 1.01906 0.5337 1.17471 26.4569 1.15464 23.0788
84 5.845 0.97868 0.55495 1.16824 27.7653 1.1605 24.3771
85 5.915 1.04785 0.57825 1.16587 29.1024 1.16565 25.7127
86 5.985 0.957589 0.60005 1.15389 30.4573 1.16534 27.0796
87 6.055 1.0257 0.62395 1.14176 31.8296 1.16341 28.4764
88 6.125 1.02756 0.64845 1.13322 33.2232 1.16122 29.903
89 6.195 0.996265 0.67275 1.12532 34.6389 1.1541 31.3535
90 6.265 1.08236 0.69975 1.11294 36.0709 1.14682 32.8276
91 6.335 0.913512 0.72305 1.09844 37.5159 1.13803 34.3232
92 6.405 0.951185 0.74785 1.07889 38.9668 1.12587 35.8357
93 6.475 0.938236 0.77285 1.07417 40.4431 1.11648 37.3686
94 6.545 0.898073 0.7973 1.05134 41.9195 1.10715 38.9217
95 6.615 0.900741 0.82235 1.04294 43.4155 1.09929 40.497
96 6.685 0.975279 0.85005 1.02695 44.9199 1.08735 42.0883
97 6.755 0.856895 0.8749 1.01486 46.4379 1.07983 43.7018
98 6.825 0.841097 0.8998 1.00295 47.9694 1.07284 45.3383
99 6.895 0.872096 0.92615 1.00258 49.5318 1.06694 46.9994
100 6.965 0.862763 0.95275 0.990417 51.1069 1.05837 48.6807
101 7.035 0.869524 0.9801 0.982086 52.7001 1.05163 50.3851
102 7.105 0.793254 1.00555 0.970021 54.3053 1.04086 52.1058
103 7.175 0.803831 1.03185 0.968667 55.9401 1.03236 53.8462
104 7.245 0.860316 1.06055 0.965179 57.6008 1.02106 55.6013
