# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_ref[1] c_rdf_ref[2] c_rdf_ref[3] c_rdf_ref[4] c_rdf_ref[5] c_rdf_ref[6] c_rdf_ref[7]
271000 200
148 10.325 0.984601 26.0515 1.02489 133.521 1.02807 129.442
149 10.395 0.972766 26.5868 1.02048 136.331 1.02819 132.273
150 10.465 0.989777 27.1388 1.01264 139.158 1.02399 135.131
151 10.535 0.987992 27.6972 1.01124 142.018 1.02441 138.028
152 10.605 0.977157 28.2568 1.00128 144.888 1.01904 140.948
153 10.675 0.964522 28.8165 0.999597 147.792 1.01718 143.902
154 10.745 0.973223 29.3887 0.992518 150.712 1.01569 146.89
155 10.815 0.966005 29.964 0.993975 153.675 1.01326 149.91
156 10.885 0.964891 30.5462 0.988253 156.659 1.00882 152.956
157 10.955 0.974853 31.1419 0.986959 159.678 1.00535 156.03
158 11.025 0.986134 31.7523 0.981987 162.72 1.00038 159.129
159 11.095 0.979792 32.3665 0.98599 165.814 0.997539 162.258
160 11.165 0.998106 33.0001 0.978009 168.921 0.997164 165.425
161 11.235 0.996038 33.6403 0.976702 172.063 0.994954 168.625
162 11.305 0.986722 34.2825 0.972132 175.23 0.993202 171.86
163 11.375 0.987728 34.9333 0.971661 178.434 0.991809 175.13
164 11.445 0.984648 35.59 0.970999 181.675 0.988236 178.428
165 11.515 0.977156 36.2498 0.972001 184.96 0.986262 181.761
166 11.585 0.993887 36.9291 0.966634 188.267 0.985229 185.13
167 11.655 0.980307 37.6072 0.9653 191.609 0.983955 188.536
168 11.725 0.987235 38.2983 0.965856 194.993 0.982014 191.976
169 11.795 0.972898 38.9875 0.96992 198.432 0.981896 195.457
170 11.865 0.975067 39.6865 0.969351 201.91 0.984398 198.988
171 11.935 0.972238 40.3918 0.971365 205.436 0.979967 202.545
172 12.005 0.973387 41.1061 0.971091 209.003 0.978067 206.137
173 12.075 0.978782 41.8328 0.974557 212.625 0.97997 209.778
174 12.145 0.973735 42.5642 0.978606 216.304 0.981387 213.466
175 12.215 0.970715 43.3018 0.981073 220.034 0.980435 217.194
176 12.285 0.988909 44.0618 0.979408 223.802 0.979464 220.961
177 12.355 1.00437 44.8425 0.983402 227.628 0.983217 224.785
178 12.425 0.999873 45.6285 0.981644 231.49 0.987655 228.67
179 12.495 1.01212 46.4332 0.985984 235.413 0.985823 232.592
180 12.565 1.00899 47.2443 0.982825 239.368 0.985082 236.555
181 12.635 1.01358 48.0683 0.985944 243.38 0.984995 240.562
182 12.705 1.00035 48.8906 0.988467 247.446 0.987288 244.623
